subset_path,config_id,method,weights,k,radius,top_m,bridge_v2_max_skip_distance,bridge_v2_top_per_seed,context_budget,queries,recall_at_k,mrr,evidence_hit_rate
data/qasper_subset_debug_50.json,adjacency|weights=na|k=8|radius=1|top_m=2|context_budget=20|bridge_v2_max_skip_distance=na|bridge_v2_top_per_seed=na,adjacency,na,8,1,2,,,20,196.0,1.0,1.0,0.7704081632653061
data/qasper_subset_debug_50.json,adjacency|weights=na|k=8|radius=1|top_m=2|context_budget=30|bridge_v2_max_skip_distance=na|bridge_v2_top_per_seed=na,adjacency,na,8,1,2,,,30,196.0,1.0,1.0,0.7704081632653061
data/qasper_subset_debug_50.json,"bridge_v1_full|weights=1.00,1.00,1.00|k=8|radius=1|top_m=2|context_budget=20|bridge_v2_max_skip_distance=na|bridge_v2_top_per_seed=na",bridge_v1_full,"1.00,1.00,1.00",8,1,2,,,20,196.0,1.0,1.0,0.7704081632653061
data/qasper_subset_debug_50.json,"bridge_v1_full|weights=1.00,1.00,1.00|k=8|radius=1|top_m=2|context_budget=30|bridge_v2_max_skip_distance=na|bridge_v2_top_per_seed=na",bridge_v1_full,"1.00,1.00,1.00",8,1,2,,,30,196.0,1.0,1.0,0.7704081632653061
data/qasper_subset_debug_50.json,"bridge_v2_full|weights=1.00,1.00,0.50|k=10|radius=1|top_m=2|context_budget=20|bridge_v2_max_skip_distance=3|bridge_v2_top_per_seed=1",bridge_v2_full,"1.00,1.00,0.50",10,1,2,3,1,20,196.0,1.0,1.0,0.8112244897959183
data/qasper_subset_debug_50.json,"bridge_v2_full|weights=1.00,1.00,0.50|k=5|radius=1|top_m=2|context_budget=20|bridge_v2_max_skip_distance=3|bridge_v2_top_per_seed=1",bridge_v2_full,"1.00,1.00,0.50",5,1,2,3,1,20,196.0,1.0,1.0,0.7653061224489796
data/qasper_subset_debug_50.json,"bridge_v2_full|weights=1.00,1.00,0.50|k=8|radius=1|top_m=2|context_budget=20|bridge_v2_max_skip_distance=3|bridge_v2_top_per_seed=1",bridge_v2_full,"1.00,1.00,0.50",8,1,2,3,1,20,196.0,1.0,1.0,0.7959183673469388
data/qasper_subset_debug_50.json,"bridge_v2_full|weights=1.00,1.00,0.50|k=8|radius=1|top_m=2|context_budget=30|bridge_v2_max_skip_distance=3|bridge_v2_top_per_seed=1",bridge_v2_full,"1.00,1.00,0.50",8,1,2,3,1,30,196.0,1.0,1.0,0.8010204081632653
data/qasper_subset_debug_50.json,"bridge_v2_full|weights=1.00,1.00,1.00|k=8|radius=1|top_m=2|context_budget=20|bridge_v2_max_skip_distance=3|bridge_v2_top_per_seed=1",bridge_v2_full,"1.00,1.00,1.00",8,1,2,3,1,20,196.0,1.0,1.0,0.7959183673469388
data/qasper_subset_debug_50.json,"bridge_v2_full|weights=1.00,1.00,1.00|k=8|radius=1|top_m=2|context_budget=20|bridge_v2_max_skip_distance=3|bridge_v2_top_per_seed=2",bridge_v2_full,"1.00,1.00,1.00",8,1,2,3,2,20,196.0,1.0,1.0,0.7959183673469388
data/qasper_subset_debug_50.json,"bridge_v2_full|weights=1.00,1.00,2.00|k=8|radius=1|top_m=2|context_budget=20|bridge_v2_max_skip_distance=3|bridge_v2_top_per_seed=1",bridge_v2_full,"1.00,1.00,2.00",8,1,2,3,1,20,196.0,1.0,1.0,0.7959183673469388
data/qasper_subset_debug_50.json,"bridge_v2_full|weights=1.00,2.00,1.00|k=8|radius=1|top_m=2|context_budget=20|bridge_v2_max_skip_distance=3|bridge_v2_top_per_seed=1",bridge_v2_full,"1.00,2.00,1.00",8,1,2,3,1,20,196.0,1.0,1.0,0.7959183673469388
data/qasper_subset_debug_50.json,"bridge_v2_full|weights=1.00,2.00,2.00|k=8|radius=1|top_m=2|context_budget=20|bridge_v2_max_skip_distance=3|bridge_v2_top_per_seed=1",bridge_v2_full,"1.00,2.00,2.00",8,1,2,3,1,20,196.0,1.0,1.0,0.7959183673469388
data/qasper_subset_debug_50.json,"bridge_v2_full|weights=2.00,1.00,1.00|k=8|radius=1|top_m=2|context_budget=20|bridge_v2_max_skip_distance=3|bridge_v2_top_per_seed=1",bridge_v2_full,"2.00,1.00,1.00",8,1,2,3,1,20,196.0,1.0,1.0,0.7959183673469388
data/qasper_subset_debug_50.json,"bridge_v2_full|weights=2.00,1.00,2.00|k=8|radius=1|top_m=2|context_budget=20|bridge_v2_max_skip_distance=3|bridge_v2_top_per_seed=1",bridge_v2_full,"2.00,1.00,2.00",8,1,2,3,1,20,196.0,1.0,1.0,0.7959183673469388
data/qasper_subset_debug_50.json,"bridge_v2_full|weights=2.00,2.00,1.00|k=8|radius=1|top_m=2|context_budget=20|bridge_v2_max_skip_distance=3|bridge_v2_top_per_seed=1",bridge_v2_full,"2.00,2.00,1.00",8,1,2,3,1,20,196.0,1.0,1.0,0.7959183673469388
data/qasper_subset_debug_50.json,"bridge_v2_skip2|weights=1.00,1.00,0.50|k=10|radius=1|top_m=2|context_budget=20|bridge_v2_max_skip_distance=2|bridge_v2_top_per_seed=1",bridge_v2_skip2,"1.00,1.00,0.50",10,1,2,2,1,20,196.0,1.0,1.0,0.8112244897959183
data/qasper_subset_debug_50.json,"bridge_v2_skip2|weights=1.00,1.00,0.50|k=5|radius=1|top_m=2|context_budget=20|bridge_v2_max_skip_distance=2|bridge_v2_top_per_seed=1",bridge_v2_skip2,"1.00,1.00,0.50",5,1,2,2,1,20,196.0,1.0,1.0,0.7397959183673469
