split,segmentation_mode,method,queries,seed_hit_rate,recall_at_k,mrr,evidence_hit_rate,beyond_adjacency_subset_size,beyond_adjacency_evidence_hit_rate
train,seg_paragraph_pair,adjacency,2593,0.2576166602391053,0.998843038951022,0.998843038951022,0.7778634785962206,1107,0.9277326106594399
train,seg_paragraph_pair,bridge_v1,2593,0.2576166602391053,0.998843038951022,0.998843038951022,0.7782491322792132,1107,0.928635953026197
train,seg_paragraph_pair,bridge_v2,2593,0.2576166602391053,0.998843038951022,0.998843038951022,0.7967605090628616,1107,0.971093044263776
train,seg_paragraph_pair,bridge_final,2593,0.25260316236020053,0.998843038951022,0.998843038951022,0.802159660624759,1107,0.985546522131888
validation,seg_paragraph_pair,adjacency,1005,0.31343283582089554,1.0,1.0,0.8517412935323383,414,0.9227053140096618
validation,seg_paragraph_pair,bridge_v1,1005,0.31343283582089554,1.0,1.0,0.8517412935323383,414,0.9227053140096618
validation,seg_paragraph_pair,bridge_v2,1005,0.31343283582089554,1.0,1.0,0.8786069651741294,414,0.9879227053140096
validation,seg_paragraph_pair,bridge_final,1005,0.3154228855721393,1.0,1.0,0.8796019900497513,414,0.9903381642512077
test,seg_paragraph_pair,adjacency,1451,0.36181943487250173,1.0,1.0,0.8787043418332184,558,0.9390681003584229
test,seg_paragraph_pair,bridge_v1,1451,0.36181943487250173,1.0,1.0,0.8787043418332184,558,0.9390681003584229
test,seg_paragraph_pair,bridge_v2,1451,0.36181943487250173,1.0,1.0,0.8945554789800138,558,0.9802867383512545
test,seg_paragraph_pair,bridge_final,1451,0.3680220537560303,1.0,1.0,0.8986905582356995,558,0.9910394265232975
