subset_path,config_id,method,weights,k,radius,top_m,context_budget,queries,recall_at_k,mrr,evidence_hit_rate
C:\Users\naman\OneDrive\Documents\GitHub\LSPBE-LD-RAG\data\qasper_subset_debug_50.json,adjacency|weights=na|k=3|radius=1|top_m=2|context_budget=20,adjacency,na,3,1,2,20,196.0,1.0,1.0,0.576530612244898
C:\Users\naman\OneDrive\Documents\GitHub\LSPBE-LD-RAG\data\qasper_subset_debug_50.json,adjacency|weights=na|k=5|radius=1|top_m=1|context_budget=20,adjacency,na,5,1,1,20,196.0,1.0,1.0,0.6938775510204082
C:\Users\naman\OneDrive\Documents\GitHub\LSPBE-LD-RAG\data\qasper_subset_debug_50.json,adjacency|weights=na|k=5|radius=1|top_m=2|context_budget=10,adjacency,na,5,1,2,10,196.0,1.0,1.0,0.6377551020408163
C:\Users\naman\OneDrive\Documents\GitHub\LSPBE-LD-RAG\data\qasper_subset_debug_50.json,adjacency|weights=na|k=5|radius=1|top_m=2|context_budget=20,adjacency,na,5,1,2,20,196.0,1.0,1.0,0.6938775510204082
C:\Users\naman\OneDrive\Documents\GitHub\LSPBE-LD-RAG\data\qasper_subset_debug_50.json,adjacency|weights=na|k=5|radius=1|top_m=2|context_budget=30,adjacency,na,5,1,2,30,196.0,1.0,1.0,0.6938775510204082
C:\Users\naman\OneDrive\Documents\GitHub\LSPBE-LD-RAG\data\qasper_subset_debug_50.json,adjacency|weights=na|k=5|radius=1|top_m=3|context_budget=20,adjacency,na,5,1,3,20,196.0,1.0,1.0,0.6938775510204082
C:\Users\naman\OneDrive\Documents\GitHub\LSPBE-LD-RAG\data\qasper_subset_debug_50.json,adjacency|weights=na|k=5|radius=2|top_m=2|context_budget=20,adjacency,na,5,2,2,20,196.0,1.0,1.0,0.6938775510204082
C:\Users\naman\OneDrive\Documents\GitHub\LSPBE-LD-RAG\data\qasper_subset_debug_50.json,adjacency|weights=na|k=5|radius=3|top_m=2|context_budget=20,adjacency,na,5,3,2,20,196.0,1.0,1.0,0.6938775510204082
C:\Users\naman\OneDrive\Documents\GitHub\LSPBE-LD-RAG\data\qasper_subset_debug_50.json,adjacency|weights=na|k=8|radius=1|top_m=2|context_budget=20,adjacency,na,8,1,2,20,196.0,1.0,1.0,0.7704081632653061
C:\Users\naman\OneDrive\Documents\GitHub\LSPBE-LD-RAG\data\qasper_subset_debug_50.json,"bridge_adj_entity|weights=0.25,1.00,0.00|k=5|radius=1|top_m=2|context_budget=20",bridge_adj_entity,"0.25,1.00,0.00",5,1,2,20,196.0,1.0,1.0,0.6938775510204082
C:\Users\naman\OneDrive\Documents\GitHub\LSPBE-LD-RAG\data\qasper_subset_debug_50.json,"bridge_adj_entity|weights=0.50,1.00,0.00|k=5|radius=1|top_m=2|context_budget=20",bridge_adj_entity,"0.50,1.00,0.00",5,1,2,20,196.0,1.0,1.0,0.6938775510204082
C:\Users\naman\OneDrive\Documents\GitHub\LSPBE-LD-RAG\data\qasper_subset_debug_50.json,"bridge_adj_entity|weights=1.00,0.50,0.00|k=5|radius=1|top_m=2|context_budget=20",bridge_adj_entity,"1.00,0.50,0.00",5,1,2,20,196.0,1.0,1.0,0.6938775510204082
C:\Users\naman\OneDrive\Documents\GitHub\LSPBE-LD-RAG\data\qasper_subset_debug_50.json,"bridge_adj_entity|weights=1.00,1.00,0.00|k=5|radius=1|top_m=2|context_budget=20",bridge_adj_entity,"1.00,1.00,0.00",5,1,2,20,196.0,1.0,1.0,0.6938775510204082
